Angle,Depth,Height,LowerDepth,UpperDepth,LowerHeight,UpperHeight
0.01,25.40387203440921,0.2540471886401689,4.375182089781836,46.432561979036585,0.04375327935018641,0.46434109793015144
0.02,25.16882628690173,0.5034436533485712,4.337580641408367,46.0000719323951,0.08676318156087855,0.920124125136264
0.03,24.943118381153308,0.7485181203451838,4.239667603233473,45.646569159073145,0.12722819884696215,1.3698080418434058
0.04,24.720667751085866,0.9893544220270342,4.138931310458351,45.302404191713386,0.16564560616645346,1.8130632378876148
0.05,24.50703713858572,1.2263740056376051,4.053319622383792,44.96075465478765,0.20283503849617873,2.2499129727790317
0.06,24.29859006348953,1.4596674252480715,3.9796670893342743,44.617513037644784,0.23906697460448517,2.6802678758916576
0.07,24.08342094863952,1.6885984118591881,3.9041855735449174,44.26265632373412,0.27374024533935326,3.1034565783790233
0.08,23.861233851658085,1.912981477585086,3.828776797009533,43.89369090630664,0.30695726549688995,3.519005689673282
0.09,23.637623409467242,2.133148720930588,3.7696244473597393,43.505622371574745,0.34018519666632335,3.9261122451948527
0.1,23.409648368266573,2.348799392665729,3.693351414480962,43.12594532205219,0.37057120306828223,4.327027582263176
0.11,23.17774222839263,2.5598848523648052,3.6431466529525363,42.712337803832725,0.40237033615864387,4.717399368570966
0.12,22.94004523755778,2.766095450342078,3.57652873428294,42.30356174083262,0.4312554642970256,5.100935436387131
0.13,22.696425020537085,2.96726973547434,3.5210520157251315,41.87179802534904,0.46033289709010156,5.474206573858579
0.14,22.42856707362169,3.1606761741185427,3.4648647355825837,41.3922694116608,0.4882753044522088,5.8330770437848765
0.15,22.188475802022186,3.353460128719827,3.427201055121487,40.94975054892289,0.5179707787954049,6.18894947864425
0.16,21.90873388340379,3.5356196594949485,3.3737838494008994,40.44368391740669,0.5444594182534813,6.526779900736416
0.17,21.656013176523945,3.7174024027568384,3.355723012126428,39.956303340921465,0.5760327483448419,6.858772057168835
0.18,21.355519563498426,3.8860538373785536,3.3131406392198484,39.397898487777006,0.602890641762778,7.16921703299433
0.19,21.061923853665977,4.050625774141938,3.286552594524986,38.83729511280698,0.6320692610964319,7.469182287187446
0.2,20.803869696647542,4.217153164925219,3.298769600337278,38.30896979295781,0.668693702819299,7.765612627031139
0.21,20.47232698385582,4.363521815539819,3.2772876591617717,37.66736630854987,0.698529102618818,8.028514528460821
0.22,20.17776314202478,4.512139721360606,3.2732995166483807,37.08222676740118,0.7319733443702992,8.292306098350915
0.23,19.84212501089224,4.645901866248414,3.267104200312215,36.41714582147226,0.7649707626136972,8.526832969883129
0.24,19.50732025792902,4.7737670923154765,3.2588388627341605,35.75580165312388,0.7974923011660607,8.750041883464892
0.25,19.22746466096985,4.909577766741623,3.2978610964817383,35.15706822545796,0.8420821882957604,8.977073345187485
0.26,18.888783027088188,5.024823182198914,3.295735724550373,34.48183032962601,0.8767366985672207,9.172909665830609
0.27,18.560860831089872,5.136869243848303,3.2888690749379705,33.832852587241774,0.9102212743168691,9.363517213379739
0.28,18.257077358556284,5.249901569858764,3.29178414814838,33.22237056896419,0.9465667712089351,9.553236368508593
0.29,17.913163776231965,5.345517118739983,3.2898008930341547,32.536526659429775,0.9817186517489268,9.70931558573104
0.3,17.602705695797198,5.445154962919858,3.293982669740727,31.911428721853675,1.0189482453366907,9.871361680503028
0.31,17.267218218581736,5.531164931594366,3.2802906581412112,31.254145779022263,1.050767322452796,10.011562540735936
0.32,16.99569386409752,5.6321928809964525,3.3015492834658904,30.68983844472915,1.0940984533662594,10.170287308626644
0.33,16.709945472339776,5.723571859347356,3.308431229303632,30.111459715375915,1.1332199685494706,10.313923750145241
0.34,16.390373511262883,5.7978795557692635,3.2881282492694015,29.492618773256364,1.163132221488804,10.432626890049724
0.35000000000000003,16.097269525778703,5.8759620658746625,3.274676689370056,28.919862362187352,1.1953503029770296,10.556573828772297
0.36,15.797510343153101,5.946227942007242,3.262174025110628,28.332846661195575,1.2278916056041898,10.664564278410296
0.37,15.497677855698683,6.010978331435131,3.2567945467312946,27.738561164666073,1.2631906297587276,10.758766033111533
0.38,15.262842740986525,6.096173556290049,3.249161575564231,27.27652390640882,1.2977564673373623,10.894590645242735
0.39,14.960670066276284,6.149656964713459,3.235591784484077,26.68574834806849,1.3300059064383016,10.969308022988615
0.4,14.690181329916943,6.210909048322835,3.2113388539839978,26.169023805849886,1.3577322905348141,11.064085806110853
0.41000000000000003,14.439138422317692,6.275700125876487,3.1988602921246954,25.679416552510688,1.390324502112911,11.161075749640062
0.42,14.180465247215764,6.332606472949354,3.1700356714664513,25.190894822965078,1.4156509016197694,11.249562044278939
0.43,13.908650050378853,6.378799321407168,3.143563726835638,24.673736373922072,1.4417044137934265,11.315894229020913
0.44,13.637382070588908,6.420213921878231,3.12308960173665,24.151674539441164,1.470289769440838,11.370138074315625
0.45,13.408152973112093,6.4768762142237835,3.083118754598161,23.733187191626026,1.4893161323061184,11.464436296141448
0.46,13.216180544710019,6.547940383338318,3.1040075905379445,23.328353498882095,1.5378767400697637,11.558004026606874
0.47000000000000003,13.019908248008123,6.613669373943515,3.07621372968513,22.96360276633112,1.5626116670089152,11.664727080878116
0.48,12.785566977758274,6.656304817754608,3.0692681196051463,22.501865835911403,1.5978942667969505,11.714715368712264
0.49,12.529324813471783,6.682993340873234,3.0371162811038483,22.021533345839718,1.6199618242996563,11.746024857446812
0.5,12.31373132852534,6.727022084040879,3.0090384391794363,21.618424217871244,1.6438451913593992,11.81019897672236
0.51,12.106296718525272,6.7717625836909106,2.993364714207201,21.21922872284334,1.6743646419958385,11.86916052538598
0.52,11.882551591335037,6.803495487194665,2.9544506634619716,20.8106525192081,1.6916056792600427,11.915385295129287
0.53,11.69530761466741,6.852479699006077,2.9392604405795963,20.45135478875522,1.7221626965932622,11.982796701418891
0.54,11.53420971234868,6.9139469813503,2.916415097234787,20.152004327462574,1.7481856027208444,12.079708359979755
0.55,11.296300192168527,6.925820538686293,2.882459536958078,19.710140847378977,1.7672509692011034,12.084390108171483
0.56,11.113504036306482,6.967606188368633,2.8468632871316806,19.38014478548128,1.7848396142258032,12.150372762511463
0.5700000000000001,10.913537467681637,6.9952343047053365,2.8277273694420546,18.99934756592122,1.8124843166252707,12.177984292785402
0.58,10.737654997785148,7.034972768235152,2.7842368835439633,18.69107311202633,1.8241441599760744,12.245801376494226
0.59,10.532732314347658,7.052250385458162,2.7712819881241844,18.29418264057113,1.8555275009068224,12.248973270009502
0.6,10.412625134883825,7.123660126237904,2.7640556498182036,18.061194619949447,1.8909922103454482,12.35632804213036
0.61,10.225624530945522,7.146881863244224,2.7365257843876996,17.714723277503346,1.912609487816996,12.381154238671455
0.62,10.063627861095071,7.184514569702637,2.7127071678825225,17.414548554307622,1.9366260795804127,12.432403059824862
0.63,9.867687692652465,7.194676440262746,2.671191198577509,17.06418418672742,1.9476048475017,12.441748033023789
0.64,9.705491635323478,7.226163838697337,2.64826289193023,16.762720378716725,1.9717477758036772,12.480579901590994
0.65,9.550994274538697,7.260707863604872,2.6301718368986102,16.471816712178786,1.9994682008878255,12.521947526321918
0.66,9.393620957317706,7.29043537436547,2.604017521252334,16.183224393383078,2.0209907913749157,12.559879957356024
0.67,9.23547745284002,7.316845567621193,2.5536529689739838,15.917301936706053,2.0231422254768465,12.610548909765539
0.68,9.092515043781752,7.352765718809014,2.547744763891902,15.637285323671604,2.060262784281096,12.645268653336935
0.6900000000000001,8.94232734777553,7.380425625253746,2.5050338527552705,15.37962084279579,2.0674948836000953,12.693356366907397
0.7000000000000001,8.783779554372387,7.398475455197029,2.478405949496794,15.089153159247982,2.0875325333317156,12.709418377062343
0.71,8.619501304363352,7.408708450975111,2.4553615643299755,14.78364104439673,2.1104536480135234,12.7069632539367
0.72,8.500317057601693,7.455355229980945,2.4145994446240957,14.586034670579291,2.117767663935396,12.792942796026495
0.73,8.334003667259255,7.45824597062921,2.3972507422031692,14.270756592315342,2.145341711195155,12.771150230063265
0.74,8.207169647839702,7.493880703248961,2.358065145666401,14.056274150013005,2.1531246032869302,12.834636803210993
0.75,8.067425430124102,7.5155849715663985,2.338472377308961,13.796378482939243,2.178512588378027,12.85265735475477
0.76,7.925843750510688,7.533129769230036,2.2750910974893785,13.576596403531997,2.162363656626864,12.903895881833208
0.77,7.764194210269174,7.5286932178399875,2.305195384211506,13.223193036326844,2.2352749538329144,12.822111481847063
0.78,7.764194210269174,7.680818697059323,2.305195384211505,13.223193036326842,2.2804411285859296,13.081196265532714
